Time,Year,Month,Data
1958.2027,1958,3,314.43
1958.2877,1958,4,315.16
1958.3699,1958,5,314.71
1958.4548,1958,6,315.14
1958.537,1958,7,315.18
1958.6219,1958,8,316.18
1958.7068,1958,9,316.08
1958.789,1958,10,315.41
1958.874,1958,11,315.2
1958.9562,1958,12,315.43
1959.0411,1959,1,315.55
1959.126,1959,2,315.86
1959.2027,1959,3,315.38
1959.2877,1959,4,315.41
1959.3699,1959,5,315.49
1959.4548,1959,6,316.03
1959.537,1959,7,315.86
1959.6219,1959,8,316.06
1959.7068,1959,9,316.73
1959.789,1959,10,316.33
1959.874,1959,11,316.68
1959.9562,1959,12,316.35
1960.041,1960,1,316.4
1960.1257,1960,2,316.36
1960.2049,1960,3,316.28
1960.2896,1960,4,316.7
1960.3716,1960,5,317.22
1960.4563,1960,6,317.47
1960.5383,1960,7,317.52
1960.623,1960,8,317.19
1960.7077,1960,9,317.08
1960.7896,1960,10,316.83
1960.8743,1960,11,316.88
1960.9563,1960,12,316.96
1961.0411,1961,1,316.86
1961.126,1961,2,317.08
1961.2027,1961,3,317.26
1961.2877,1961,4,317.16
1961.3699,1961,5,317.76
1961.4548,1961,6,317.63
1961.537,1961,7,317.88
1961.6219,1961,8,318.06
1961.7068,1961,9,317.9
1961.789,1961,10,318.32
1961.874,1961,11,317.99
1961.9562,1961,12,317.79
1962.0411,1962,1,317.91
1962.126,1962,2,317.92
1962.2027,1962,3,318.39
1962.2877,1962,4,318.24
1962.3699,1962,5,318.18
1962.4548,1962,6,318.47
1962.537,1962,7,318.92
1962.6219,1962,8,318.68
1962.7068,1962,9,319.17
1962.789,1962,10,318.45
1962.874,1962,11,318.58
1962.9562,1962,12,318.47
1963.0411,1963,1,318.7
1963.126,1963,2,318.44
1963.2027,1963,3,318.57
1963.2877,1963,4,319.05
1963.3699,1963,5,319.4
1963.4548,1963,6,319.32
1963.537,1963,7,319.05
1963.6219,1963,8,319.05
1963.7068,1963,9,319.14
1963.789,1963,10,319.02
1963.874,1963,11,318.97
1963.9562,1963,12,319.13
1964.041,1964,1,319.54
1964.1257,1964,2,319.37
1964.2049,1964,3,319.41
1964.2896,1964,4,319.45
1964.3716,1964,5,319.4
1964.4563,1964,6,319.75
1964.5383,1964,7,319.77
1964.623,1964,8,320
1964.7077,1964,9,319.66
1964.7896,1964,10,319.91
1964.8743,1964,11,319.58
1964.9563,1964,12,319.49
1965.0411,1965,1,319.4
1965.126,1965,2,319.81
1965.2027,1965,3,319.59
1965.2877,1965,4,319.78
1965.3699,1965,5,319.3
1965.4548,1965,6,319.7
1965.537,1965,7,320.51
1965.6219,1965,8,320.15
1965.7068,1965,9,320.77
1965.789,1965,10,320.36
1965.874,1965,11,320.78
1965.9562,1965,12,320.2
1966.0411,1966,1,320.59
1966.126,1966,2,320.96
1966.2027,1966,3,321.08
1966.2877,1966,4,321.34
1966.3699,1966,5,321.2
1966.4548,1966,6,321.57
1966.537,1966,7,321.68
1966.6219,1966,8,321.65
1966.7068,1966,9,321.6
1966.789,1966,10,321.17
1966.874,1966,11,321.7
1966.9562,1966,12,321.81
1967.0411,1967,1,322.29
1967.126,1967,2,321.86
1967.2027,1967,3,321.73
1967.2877,1967,4,322.04
1967.3699,1967,5,322.12
1967.4548,1967,6,321.91
1967.537,1967,7,321.84
1967.6219,1967,8,322.21
1967.7068,1967,9,322.23
1967.789,1967,10,322.47
1967.874,1967,11,322.65
1967.9562,1967,12,322.75
1968.041,1968,1,322.54
1968.1257,1968,2,322.51
1968.2049,1968,3,322.55
1968.2896,1968,4,322.62
1968.3716,1968,5,322.68
1968.4563,1968,6,323.19
1968.5383,1968,7,323.46
1968.623,1968,8,323.43
1968.7077,1968,9,323.32
1968.7896,1968,10,323.33
1968.8743,1968,11,323.25
1968.9563,1968,12,323.69
1969.0411,1969,1,323.97
1969.126,1969,2,323.77
1969.2027,1969,3,324.31
1969.2877,1969,4,324.27
1969.3699,1969,5,324.48
1969.4548,1969,6,324.51
1969.537,1969,7,325.17
1969.6219,1969,8,324.97
1969.7068,1969,9,325.37
1969.789,1969,10,324.88
1969.874,1969,11,324.79
1969.9562,1969,12,324.91
1970.0411,1970,1,325.03
1970.126,1970,2,325.34
1970.2027,1970,3,325.61
1970.2877,1970,4,325.74
1970.3699,1970,5,325.16
1970.4548,1970,6,325.46
1970.537,1970,7,325.63
1970.6219,1970,8,325.99
